i,tag,rp_cov8,rp_cov30,rp_longest,rp_nspans8,ex_cov8,ex_cov30,ex_longest,ex_nspans8,tok_n,tok_cov4,tok_cov8,tok_cov16,tok_cov24,tok_longest,tok_nspans4,harvest_frac,speedup
68,FINAL_REPORT_MARKDOWN,0.841,0.7129,124,86,0.768,0.6275,124,54,3134,0.8283,0.7607,0.6726,0.5702,80,116,0.702,1.917
69,FINAL_REPORT_MARKDOWN,0.8651,0.7463,228,84,0.8926,0.8131,228,69,3739,0.8406,0.7737,0.7189,0.5994,153,120,0.7384,2.335
70,FINAL_REPORT_MARKDOWN,0.9272,0.5651,209,226,0.875,0.4925,175,335,4314,0.7098,0.5939,0.5223,0.3208,44,189,0.5563,1.588
71,FINAL_REPORT_MARKDOWN,0.8397,0.4262,127,265,0.8411,0.4419,127,236,2950,0.5227,0.4508,0.3871,0.2586,50,97,0.419,1.473
72,FINAL_REPORT_MARKDOWN,0.9321,0.7424,294,148,0.9262,0.7078,294,148,3478,0.7869,0.7205,0.6475,0.5207,81,130,0.6633,1.822
73,FINAL_REPORT_MARKDOWN,0.9115,0.5974,139,303,0.8966,0.4611,131,378,4384,0.659,0.5892,0.4277,0.2525,43,192,0.5219,1.646
74,FINAL_REPORT_MARKDOWN,0.9309,0.649,158,160,0.9318,0.6458,289,205,2921,0.7237,0.6255,0.5173,0.4177,39,126,0.582,1.908
75,FINAL_REPORT_MARKDOWN,0.8901,0.5991,213,157,0.8794,0.574,213,127,2543,0.689,0.595,0.5242,0.4436,89,97,0.5619,1.589
76,FINAL_REPORT_MARKDOWN,0.9215,0.6343,318,248,0.9043,0.5616,152,309,3474,0.6566,0.5774,0.4859,0.3874,62,135,0.5337,1.846
77,FINAL_REPORT_MARKDOWN,0.8545,0.3465,152,251,0.8856,0.4752,152,208,2954,0.5007,0.3741,0.3077,0.1635,46,127,0.3653,1.241
78,FINAL_REPORT_MARKDOWN,0.9295,0.6592,298,204,0.9349,0.6938,298,193,3574,0.7143,0.6472,0.5635,0.3844,82,140,0.5887,1.77
79,FINAL_REPORT_MARKDOWN,0.88,0.4541,161,231,0.8891,0.5123,145,295,3297,0.6018,0.4504,0.296,0.2311,43,156,0.4359,1.357
